strip_w,strip_h,allow_rot,seed,n_items,placed,us
200,150,0,0,40,19,270.18699984182604
200,150,0,1,40,19,130.30299987804028
200,150,0,2,40,19,44.60099989955779
200,150,0,3,40,19,42.37099983583903
200,150,0,4,40,19,38.7710001632513
200,150,0,5,40,19,27.34100007728557
200,150,0,6,40,19,26.4410000454518
200,150,0,7,40,19,25.84000003480469
200,150,0,8,40,19,25.09099977032747
200,150,0,9,40,19,25.300999823230086
200,150,0,10,40,19,25.75999997134204
200,150,0,11,40,19,120.92299994037603
200,150,0,12,40,19,92.82199971494265
200,150,0,13,40,19,76.95400017837528
200,150,0,14,40,19,30.900000183464726
200,150,0,15,40,19,27.941000098508084
200,150,0,16,40,19,26.66099999260041
200,150,0,17,40,18,25.660000119387405
200,150,0,18,40,18,25.521000225126045
200,150,0,19,40,19,25.640999865572667
200,150,0,20,40,19,25.329999971290817
200,150,0,21,40,19,25.719999939610716
200,150,0,22,40,19,31.511000088357832
200,150,0,23,40,19,30.07099985552486
200,150,0,24,40,19,27.10999979171902
200,150,0,25,40,19,26.740999601315707
200,150,0,26,40,19,25.45099960116204
200,150,0,27,40,19,25.120999907812802
200,150,0,28,40,19,25.020999601110816
200,150,0,29,40,19,24.880999717424856
200,150,0,30,40,18,24.711000151000917
200,150,0,31,40,19,24.450000182696385
200,150,0,32,40,19,24.370000119233737
200,150,0,33,40,18,24.251000013464363
200,150,0,34,40,18,24.251000013464363
200,150,0,35,40,19,24.330000087502412
200,150,0,36,40,19,25.780000214581378
200,150,0,37,40,18,24.481000309606316
200,150,0,38,40,19,24.38100000290433
200,150,0,39,40,19,24.350999865419
200,150,1,0,40,19,29.84000002470566
200,150,1,1,40,19,29.440999696817016
200,150,1,2,40,19,29.021000045759138
200,150,1,3,40,19,28.91099984481116
200,150,1,4,40,19,28.810999992856523
200,150,1,5,40,19,36.96099975059042
200,150,1,6,40,19,37.6110001525376
200,150,1,7,40,19,32.72100002504885
200,150,1,8,40,19,29.59100038424367
200,150,1,9,40,19,29.370999982347712
200,150,1,10,40,19,29.07999987655785
200,150,1,11,40,19,29.061000077490462
200,150,1,12,40,19,28.851000024587847
200,150,1,13,40,19,28.869999823655235
200,150,1,14,40,19,29.990999792062212
200,150,1,15,40,19,28.919999749632552
200,150,1,16,40,19,28.921000193804502
200,150,1,17,40,18,29.210999855422415
200,150,1,18,40,18,29.0800003313052
200,150,1,19,40,19,29.82099977089092
200,150,1,20,40,19,30.131000130495522
200,150,1,21,40,19,30.01000004587695
200,150,1,22,40,19,29.541000003519002
200,150,1,23,40,19,29.400000130408444
200,150,1,24,40,19,28.91100029955851
200,150,1,25,40,19,33.76099994056858
200,150,1,26,40,19,29.039999844826525
200,150,1,27,40,19,28.97100011978182
200,150,1,28,40,19,28.620999728445895
200,150,1,29,40,19,28.85999992940924
200,150,1,30,40,18,28.281000140850665
200,150,1,31,40,19,28.621000183193246
200,150,1,32,40,19,28.649999876506627
200,150,1,33,40,18,29.041000288998475
200,150,1,34,40,18,28.751000172633212
200,150,1,35,40,19,29.021000045759138
200,150,1,36,40,19,28.77100041587255
200,150,1,37,40,18,29.3100001726998
200,150,1,38,40,19,29.600999823742313
200,150,1,39,40,19,30.760999834456015
250,180,0,0,40,25,27.410000257077627
250,180,0,1,40,26,28.340999961073976
250,180,0,2,40,25,26.591000278131105
250,180,0,3,40,25,43.01099988879287
250,180,0,4,40,25,30.450999929598765
250,180,0,5,40,25,27.950999992754078
250,180,0,6,40,24,26.591000278131105
250,180,0,7,40,25,26.89100028874236
250,180,0,8,40,24,26.63099985511508
250,180,0,9,40,24,26.12000025692396
250,180,0,10,40,25,26.52100010891445
250,180,0,11,40,25,26.091000108863227
250,180,0,12,40,24,26.059999981953297
250,180,0,13,40,25,25.830000140558695
250,180,0,14,40,25,26.341000193497166
250,180,0,15,40,25,26.761000299302395
250,180,0,16,40,25,26.310000066587236
250,180,0,17,40,25,26.480000087758526
250,180,0,18,40,25,25.860999812721275
250,180,0,19,40,25,26.511000214668456
250,180,0,20,40,25,25.740000182850054
250,180,0,21,40,25,26.821000119525706
250,180,0,22,40,25,26.221000098303193
250,180,0,23,40,24,31.341000067186542
250,180,0,24,40,25,28.10100022543338
250,180,0,25,40,25,34.65100007815636
250,180,0,26,40,25,26.92099997148034
250,180,0,27,40,25,26.919999982055742
250,180,0,28,40,25,26.27100002428051
250,180,0,29,40,25,26.651000098354416
250,180,0,30,40,25,26.531000003160443
250,180,0,31,40,25,27.069999759987695
250,180,0,32,40,25,26.150999929086538
250,180,0,33,40,24,26.571000034891767
250,180,0,34,40,25,26.571000034891767
250,180,0,35,40,24,26.511000214668456
250,180,0,36,40,24,26.450999939697795
250,180,0,37,40,24,26.390999664727133
250,180,0,38,40,25,26.57999993971316
250,180,0,39,40,25,27.14099991862895
250,180,1,0,40,31,37.41099999388098
250,180,1,1,40,32,36.5209998562932
250,180,1,2,40,31,49.94099981558975
250,180,1,3,40,31,39.320999803749146
250,180,1,4,40,31,48.77099991063005
250,180,1,5,40,31,41.030999909708044
250,180,1,6,40,30,37.99099977186415
250,180,1,7,40,31,35.93100018406403
250,180,1,8,40,30,36.40099976109923
250,180,1,9,40,30,36.220999845681945
250,180,1,10,40,31,37.52100019482896
250,180,1,11,40,31,36.021000141772674
250,180,1,12,40,30,36.081000416743336
250,180,1,13,40,31,35.98100011004135
250,180,1,14,40,31,35.631000173452776
250,180,1,15,40,31,35.78099995138473
250,180,1,16,40,31,35.55100010999013
250,180,1,17,40,31,35.371000194572844
250,180,1,18,40,31,35.2009997186542
250,180,1,19,40,31,35.3609998455795
250,180,1,20,40,31,35.09999987727497
250,180,1,21,40,31,34.99099966575159
250,180,1,22,40,31,35.64100006769877
250,180,1,23,40,30,35.431000014796155
250,180,1,24,40,31,34.981000226252945
250,180,1,25,40,31,34.68100021564169
250,180,1,26,40,31,34.92999985610368
250,180,1,27,40,31,34.951000088767614
250,180,1,28,40,31,34.79999986666371
250,180,1,29,40,31,34.58100036368705
250,180,1,30,40,31,34.741000035865
250,180,1,31,40,31,35.2009997186542
250,180,1,32,40,31,35.121000109938905
250,180,1,33,40,30,34.951000088767614
250,180,1,34,40,31,51.27200029164669
250,180,1,35,40,30,44.53100018508849
250,180,1,36,40,30,37.65099972952157
250,180,1,37,40,30,36.38099997260724
250,180,1,38,40,31,36.03100003601867
250,180,1,39,40,31,35.66999976101215
160,120,0,0,40,7,20.520999896689318
160,120,0,1,40,7,19.91099998122081
160,120,0,2,40,7,19.46099973793025
160,120,0,3,40,7,18.970999917655718
160,120,0,4,40,7,19.350000002305023
160,120,0,5,40,7,19.330000213813037
160,120,0,6,40,7,19.220000012865057
160,120,0,7,40,7,19.25999958984903
160,120,0,8,40,7,18.63999978013453
160,120,0,9,40,7,19.041000086872373
160,120,0,10,40,7,19.530999907146906
160,120,0,11,40,7,18.6910001502838
160,120,0,12,40,7,18.651000118552474
160,120,0,13,40,7,18.741000076261116
160,120,0,14,40,7,18.49999989644857
160,120,0,15,40,7,27.520000003278255
160,120,0,16,40,7,34.55000023677712
160,120,0,17,40,7,26.359999992564553
160,120,0,18,40,7,26.030999833892565
160,120,0,19,40,7,25.459999960730784
160,120,0,20,40,7,25.68099989730399
160,120,0,21,40,7,24.961000235634856
160,120,0,22,40,7,25.099999675148865
160,120,0,23,40,7,24.501000098098302
160,120,0,24,40,7,25.58999995017075
160,120,0,25,40,7,26.051000077131903
160,120,0,26,40,7,25.2800000453135
160,120,0,27,40,7,25.041000299097504
160,120,0,28,40,7,26.079999770445284
160,120,0,29,40,7,24.961000235634856
160,120,0,30,40,7,24.680000024090987
160,120,0,31,40,7,42.06099993098178
160,120,0,32,40,7,28.30099992934265
160,120,0,33,40,7,27.630999738903483
160,120,0,34,40,7,28.58100015146192
160,120,0,35,40,7,26.261000130034517
160,120,0,36,40,7,26.20999975988525
160,120,0,37,40,7,25.070999981835485
160,120,0,38,40,7,27.90100006677676
160,120,0,39,40,7,26.91000008780975
160,120,1,0,40,11,46.43200009013526
160,120,1,1,40,11,47.761000132595655
160,120,1,2,40,11,34.190999940619804
160,120,1,3,40,11,31.260000014299294
160,120,1,4,40,11,31.34099961243919
160,120,1,5,40,11,38.69100009978865
160,120,1,6,40,11,30.80100032093469
160,120,1,7,40,11,31.08100008830661
160,120,1,8,40,11,30.651000088255387
160,120,1,9,40,11,30.311000045912806
160,120,1,10,40,11,30.62999985559145
160,120,1,11,40,11,30.401000003621448
160,120,1,12,40,11,30.760999834456015
160,120,1,13,40,11,30.530999993061414
160,120,1,14,40,11,30.721000257472042
160,120,1,15,40,11,31.040000067150686
160,120,1,16,40,11,30.500999855576083
160,120,1,17,40,11,31.03099970758194
160,120,1,18,40,11,30.029999834368937
160,120,1,19,40,11,30.651000088255387
160,120,1,20,40,11,30.481000067084096
160,120,1,21,40,11,30.66099998250138
160,120,1,22,40,11,30.530999993061414
160,120,1,23,40,11,45.80099994200282
160,120,1,24,40,11,34.811000205081655
160,120,1,25,40,11,31.98000013071578
160,120,1,26,40,11,30.71100036322605
160,120,1,27,40,11,31.090999982552603
160,120,1,28,40,11,32.27099978175829
160,120,1,29,40,11,41.44100012126728
160,120,1,30,40,11,34.44100002525374
160,120,1,31,40,11,32.4110001201916
160,120,1,32,40,11,31.400999887409853
160,120,1,33,40,11,31.00100002484396
160,120,1,34,40,11,30.851000246912008
160,120,1,35,40,11,30.640000204584794
160,120,1,36,40,11,30.450999929598765
160,120,1,37,40,11,31.851000130700413
160,120,1,38,40,11,29.95100021507824
160,120,1,39,40,11,29.7010001304443
