target_cov,actual_cov,seed,n_aware,n_naive,n_best
0.0,0.0,0,23,23,23
0.0,0.0,1,23,23,23
0.0,0.0,2,23,23,23
0.0,0.0,3,23,23,23
0.0,0.0,4,23,23,23
0.0,0.0,5,23,23,23
0.0,0.0,6,23,23,23
0.0,0.0,7,23,23,23
0.0,0.0,8,23,23,23
0.0,0.0,9,23,23,23
0.0,0.0,10,23,23,23
0.0,0.0,11,23,23,23
0.0,0.0,12,23,23,23
0.0,0.0,13,23,23,23
0.0,0.0,14,23,23,23
0.0,0.0,15,23,23,23
0.0,0.0,16,23,23,23
0.0,0.0,17,23,23,23
0.0,0.0,18,23,23,23
0.0,0.0,19,23,23,23
0.0,0.0,20,23,23,23
0.0,0.0,21,23,23,23
0.0,0.0,22,23,23,23
0.0,0.0,23,23,23,23
0.0,0.0,24,23,23,23
0.0,0.0,25,23,23,23
0.0,0.0,26,23,23,23
0.0,0.0,27,23,23,23
0.0,0.0,28,23,23,23
0.0,0.0,29,23,23,23
0.0,0.0,30,23,23,23
0.0,0.0,31,23,23,23
0.0,0.0,32,23,23,23
0.0,0.0,33,23,23,23
0.0,0.0,34,23,23,23
0.0,0.0,35,23,23,23
0.0,0.0,36,23,23,23
0.0,0.0,37,23,23,23
0.0,0.0,38,23,23,23
0.0,0.0,39,23,23,23
0.025,0.011641791044776119,0,15,12,15
0.025,0.009850746268656717,1,14,12,14
0.025,0.011119402985074626,2,15,12,15
0.025,0.010895522388059702,3,15,9,15
0.025,0.01582089552238806,4,13,9,13
0.025,0.011940298507462687,5,13,11,13
0.025,0.013955223880597015,6,14,10,14
0.025,0.011417910447761194,7,13,11,13
0.025,0.015746268656716418,8,12,11,14
0.025,0.014626865671641792,9,14,11,14
0.025,0.010298507462686568,10,14,13,14
0.025,0.01291044776119403,11,13,7,13
0.025,0.011194029850746268,12,16,11,16
0.025,0.007611940298507463,13,16,12,16
0.025,0.012238805970149255,14,16,13,16
0.025,0.011268656716417911,15,12,9,13
0.025,0.010895522388059702,16,15,11,15
0.025,0.010970149253731343,17,16,12,16
0.025,0.014104477611940298,18,16,15,16
0.025,0.01208955223880597,19,17,14,17
0.025,0.011791044776119404,20,13,9,15
0.025,0.012388059701492538,21,14,10,14
0.025,0.00917910447761194,22,15,9,15
0.025,0.011940298507462687,23,15,9,15
0.025,0.011417910447761194,24,15,10,15
0.025,0.011268656716417911,25,14,9,16
0.025,0.012164179104477611,26,15,13,15
0.025,0.01171641791044776,27,14,10,14
0.025,0.011119402985074626,28,14,10,14
0.025,0.01082089552238806,29,15,8,15
0.025,0.009850746268656717,30,14,13,14
0.025,0.00873134328358209,31,15,13,15
0.025,0.012014925373134328,32,14,10,14
0.025,0.015671641791044775,33,14,12,14
0.025,0.010746268656716417,34,12,10,12
0.025,0.010746268656716417,35,14,12,14
0.025,0.014179104477611941,36,13,11,15
0.025,0.012835820895522388,37,12,10,14
0.025,0.012985074626865671,38,17,14,17
0.025,0.014104477611940298,39,13,11,13
0.05,0.02343283582089552,0,10,5,11
0.05,0.023955223880597017,1,8,6,10
0.05,0.021044776119402985,2,7,6,10
0.05,0.021791044776119404,3,11,7,12
0.05,0.02343283582089552,4,6,5,12
0.05,0.02417910447761194,5,12,9,13
0.05,0.022611940298507462,6,9,5,9
0.05,0.021791044776119404,7,11,6,12
0.05,0.02044776119402985,8,12,8,12
