epoch,mean_loss,AP_bat_0.5,AP_cart_0.5,mAP_0.5,AP_bat_0.75,AP_cart_0.75,mAP_0.75,epoch_s
0,0.490633,0.000000,0.000000,0.009697,0.000000,0.000000,0.000000,123.37
1,0.240807,0.090909,0.030303,0.291818,0.090909,0.030303,0.060606,130.58
2,0.225785,0.090909,0.111888,0.492608,0.090909,0.111888,0.101399,125.87
3,0.206613,0.090909,0.038826,0.466097,0.090909,0.038826,0.064867,123.37
4,0.193739,0.105195,0.228099,0.581343,0.105195,0.228099,0.166647,124.32
5,0.190990,0.129749,0.186364,0.620354,0.129749,0.186364,0.158056,124.25
6,0.195859,0.204925,0.219835,0.736333,0.204925,0.219835,0.212380,123.44
7,0.179942,0.115213,0.204196,0.661737,0.115213,0.204196,0.159704,131.34
8,0.183074,0.151359,0.248485,0.616612,0.151359,0.248485,0.199922,122.94
9,0.165149,0.177249,0.390088,0.745660,0.177249,0.390088,0.283668,123.34
10,0.162058,0.274519,0.328904,0.748144,0.274519,0.328904,0.301712,137.85
11,0.169004,0.357263,0.253030,0.764303,0.357263,0.253030,0.305147,123.07
12,0.163167,0.352620,0.316450,0.742915,0.352620,0.316450,0.334535,121.66
13,0.161484,0.328655,0.233333,0.689232,0.328655,0.233333,0.280994,121.07
14,0.156418,0.429406,0.319964,0.712854,0.429406,0.319964,0.374685,120.75
