epoch,mean_loss,AP_bat_0.5,AP_cart_0.5,mAP_0.5,AP_bat_0.75,AP_cart_0.75,mAP_0.75,epoch_s
0,1.000694,0.036919,0.441448,0.239184,0.000000,0.025974,0.012987,142.79
1,0.763133,0.555493,0.523871,0.539682,0.015152,0.113427,0.064289,124.60
2,0.722931,0.738186,0.742260,0.740223,0.235965,0.366162,0.301064,116.08
3,0.678206,0.651135,0.795040,0.723087,0.250058,0.189427,0.219742,115.80
4,0.663569,0.836260,0.791624,0.813942,0.364733,0.511911,0.438322,114.27
5,0.560187,0.829786,0.835216,0.832501,0.471242,0.442393,0.456818,117.23
6,0.529152,0.862467,0.837063,0.849765,0.545186,0.321294,0.433240,115.07
7,0.535102,0.841310,0.783852,0.812581,0.464947,0.594697,0.529822,113.62
8,0.521255,0.802455,0.792834,0.797645,0.371968,0.591991,0.481980,114.59
9,0.458984,0.903306,0.806722,0.855014,0.430399,0.493034,0.461716,116.69
10,0.442142,0.905303,0.836003,0.870653,0.472437,0.668188,0.570312,120.98
11,0.406316,0.900404,0.816052,0.858228,0.556189,0.529336,0.542762,125.43
12,0.435052,0.902168,0.835646,0.868907,0.466228,0.567273,0.516750,114.13
13,0.376707,0.898812,0.799071,0.848941,0.576775,0.543506,0.560141,113.41
14,0.387599,0.905303,0.841905,0.873604,0.545223,0.620917,0.583070,117.11
